company_category_list,cluster
Agriculture|Biotechnology,27
Healthcare Services|Medical|Services,31
Health and Wellness|Health Care|mHealth|Mobile,18
Bio-Pharm|Biotechnology|Health Care,18
Consumer Goods|Wine And Spirits,34
Electronic Health Records|Health and Wellness|Software,31
Online Travel|Travel,20
Enterprises,5
Clean Technology|Energy|Renewable Energies,37
Public Safety,3
Gps|Software,21
Health and Wellness|Health Diagnostics|Medical,18
Clean Technology|Energy Efficiency,37
Games|Internet,40
Consumer Goods|Retail,45
Legal|SaaS,22
Legal|Software,24
Finance|FinTech|Venture Capital,38
Gambling|Games,40
Finance|SaaS,22
Advertising|Marketplaces,6
Education|Language Learning,39
Logistics|Shipping,48
Location Based Services|Mobile|Social Media,4
Banking|Finance,38
Enterprises|Enterprise Software|Software,24
Construction|Manufacturing,13
Medical Professionals,18
Video Streaming,8
Banking|Finance|Financial Services,38
Presentations|Software,21
Games|Social Network Media,41
Consulting|Enterprise Software,24
Health and Wellness|Medical Devices,18
Fashion|Online Shopping,25
Games|Mobile|Mobile Games,40
Clean Technology|Renewable Energies,37
Delivery,45
Clean Energy|Energy,37
Medical|Retail,31
Education|Testing,39
Logistics|Supply Chain Management|Technology,48
Mobile|Sports,35
Education|Universities,39
Online Dating,14
Business Services|Enterprise Software,24
M2M|Software,21
Machine Learning,16
Photography|Photo Sharing,14
Games|Networking,40
Manufacturing|Medical Devices,1
Auto|Automotive|Cars,13
Analytics|Big Data|Cloud Computing,46
Privacy|Security,26
Clean Technology|Manufacturing,9
App Marketing|Mobile,33
Food Processing|Organic Food,34
Lighting,44
Art,30
Transportation|Travel,48
Fitness|Health and Wellness|Training,17
Art|E-Commerce,14
Clean Technology|Green,9
Water,32
Curated Web|Fashion,14
E-Commerce|Fashion|Jewelry,25
Messaging|SMS,2
Data Security,26
E-Commerce|Finance,38
Analytics|Big Data|Social Media,41
Mobile|Semiconductors,13
Curated Web|Semantic Web,14
Fashion|Lifestyle|Shopping,25
Game|Games,40
Non-Tech,27
Design|E-Commerce,44
Collaboration|Social Media,41
Productivity Software,21
Consumer Electronics|Software,13
Education|Teachers,39
Travel|Vacation Rentals,20
Clean Technology|Lighting|Semiconductors,13
Location Based Services|Mobile,4
Games|Virtual Worlds,40
Manufacturing|Retail,45
Clinical Trials|Medical|Pharmaceuticals,1
Android|iOS|Mobile,29
Entertainment|Game,40
Shopping,20
Mobile|Reviews and Recommendations,43
E-Commerce|Restaurants,6
Innovation Engineering,9
Employment|Human Resources|Recruiting,3
SaaS|Sales and Marketing|Software,7
Software|Startups,21
Mobile|Networking,33
Curated Web|Publishing,14
Document Management,3
Information Services|Information Technology,28
E-Commerce|Lifestyle|Retail,6
Apps|Enterprise Software|Mobile,21
SaaS|Software|Technology,22
Biotechnology|Health Care|Medical|Pharmaceuticals,1
Health Care|Software,31
Enterprise Software|Sales and Marketing,7
Chemicals|Clean Technology,37
Entertainment|Music|Video,30
IT and Cybersecurity,3
SEO|Software,21
Advertising|Social Media,41
Drones,26
Mobile|News,23
Social Media|Software,49
E-Commerce|Shopping,6
Digital Media|Social Media,23
Curated Web|Recruiting,14
Software|Television,8
Entertainment|Music,30
Diagnostics|Health Care|Medical Devices,1
Curated Web|Parenting,14
Analytics|Retail|Software,46
